,Energy_kcal,Carb_pct,Protein_pct,Fat_pct,Moisture_g,Ash_g,Fiber_g,Na_mg,K_mg,Ca_mg,Zn_mg,Fe_mg,P_mg,I_mg,Mg_mg,Cu_mg,VitA,VitE,VitK,VitC,VitB1,VitB2,VitB3,VitB5,VitB6,VitB7,VitB9,Hardness_g,Firmness_g,Strength_g,pH,L_star,a_star,b_star,Chroma,Appearance,Colour,Texture,Flavour,Aroma,Overall_Accept,TPC_mgGAE,TFC_mgQE,DPPH_pct
VitB1,0.5166145340247821,-0.5162100143821933,0.8332692578745252,0.9084027180436465,-0.2523093026700451,-0.6592664765286199,0.8346083261662095,-0.4858454067389202,-0.4320670676991305,0.8850076610518673,0.9501410458026427,0.4294514393330234,0.10569737202267346,-0.5046338867329523,0.9496810890383544,0.9013533380542884,,-0.5046338867329516,,,1.0,0.10765568556712592,0.10786827582839116,0.1078894108320821,0.10791496619155704,0.5045842937019729,0.107864842380637,0.1593532187244766,0.1868750798145318,0.10716624157612141,-0.7134664139511642,0.3193090366542007,0.1959952986151136,0.061739023635061195,0.117576286164537,-0.8186701106575851,0.19443902120090814,-0.15875469657790925,0.06077556462281185,-0.9741850366353539,0.10226480644376265,0.22982919966493437,0.19676613432242715,0.7269672602109738
VitB2,0.3324631982975222,-0.23887336787629843,-0.08306421127134922,-0.2680349035528444,0.5692489158223344,0.2510661121941429,-0.3989938537544789,-0.3131597399089044,0.30148577805788784,-0.20159976421003425,-0.2077201269196546,-0.3967718497449105,0.9999894980778544,-0.33353165747222974,-0.2088137491456625,-0.33353165747222985,,-0.3335316574722293,,,0.10765568556712592,1.0,0.9999999085452502,0.9999998894560803,0.9999998639594099,0.33293659653115537,0.999999911475615,-0.084498024589786,-0.3960896563193089,-0.40182401300981346,0.13214514347306414,-0.8682815277183,-0.9012151322339569,-0.8972029888145392,-0.9017487391469726,-0.19730212180938536,0.5515303038052112,0.19393876426792625,0.9908464538407935,-0.3011594482460858,0.06719173218372938,-0.38418640297674383,-0.5674758591168826,-0.311323570358665
VitB3,0.3322667044142939,-0.23866906953771633,-0.08307744167007805,-0.2679068032072811,0.5689002014534765,0.2506671479655243,-0.39871309064726557,-0.31356575897432337,0.3010779977493919,-0.20153701847587288,-0.20751096055403417,-0.3969611882409926,0.9999905185096994,-0.3333300770676676,-0.20861009093668925,-0.3333300770676676,,-0.33333007706766715,,,0.10786827582839116,0.9999999085452502,1.0,0.9999999990959998,0.9999999955881254,0.3333398458408072,0.9999999999761426,-0.08409810460164518,-0.3957110905799099,-0.401457120277811,0.13174103914443278,-0.8680921129040361,-0.9010343472049193,-0.897016290782215,-0.9015637878542159,-0.19726485426446333,0.5518641332103571,0.1942572396777853,0.9908994133225605,-0.3014025346994006,0.06758000890722887,-0.3844547262726591,-0.5677097851839181,-0.31136881711555425
VitB5,0.33224716533978405,-0.23864875546676095,-0.08307875622812312,-0.26789406457691345,0.5688655259962555,0.25062747976381505,-0.39868517272027015,-0.31360612293939283,0.3010374525342291,-0.2015307781745693,-0.20749016280710225,-0.39698000862506605,0.9999906099662623,-0.33331003227200534,-0.20858984080898527,-0.33331003227200556,,-0.33331003227200495,,,0.1078894108320821,0.9999998894560803,0.9999999990959998,1.0,0.9999999986782883,0.3333799342344177,0.9999999987784289,-0.08405834304183533,-0.39567344898042767,-0.40142063917095333,0.13170086109417373,-0.8680732722860667,-0.9010163642454292,-0.8969977199821412,-0.9015453906724739,-0.19726114709037362,0.5518973175755871,0.19428890109777922,0.9909046698474304,-0.3014266997512117,0.06761861135778506,-0.38448139958364924,-0.5677330368325263,-0.3113733125117433
VitB6,0.3322235386526293,-0.23862419191023024,-0.0830803455396891,-0.267878660876292,0.5688235964156313,0.25057951392026956,-0.39865141449190045,-0.31365492871027895,0.3009884261185805,-0.20152323215959697,-0.20746501448373594,-0.39700276453891575,0.9999907181371913,-0.3332857940840423,-0.2085653546427199,-0.33328579408404246,,-0.3332857940840419,,,0.10791496619155704,0.9999998639594099,0.9999999955881254,0.9999999986782883,1.0,0.333428406747322,0.9999999949154069,-0.0840102647155554,-0.3956279332747915,-0.40137652667374096,0.1316522790488822,-0.8680504888513396,-0.9009946177782467,-0.8969752627308161,-0.9015231433426644,-0.19725666404408387,0.5519374414796727,0.19432718437958849,0.9909110237073584,-0.30145591845903486,0.06766528776821262,-0.3845136509798293,-0.5677611504458391,-0.3113787474171264
VitB7,-0.3224744903291421,0.370860143476252,-0.05684231396518059,0.19314360581419038,-0.5792085999995193,-0.7959985995140895,0.4861077904928083,-0.9995183441940577,-0.7986396178369614,0.07118151775312526,0.3919715295241089,-0.5496343348972133,0.33538459104957596,0.3333333333333334,0.3794627908932597,0.3333333333333333,,0.3333333333333343,,,0.5045842937019729,0.33293659653115537,0.3333398458408072,0.3333799342344177,0.333428406747322,1.0,0.3333333333333334,0.853596061824618,0.7027110210028618,0.6750639825931506,-0.8469486394549564,0.12836495046106167,0.09836651402005486,0.11274013154342866,0.10737454818382632,0.016438788039133005,0.91976457040111,0.7667845901646797,0.6120255807058063,-0.6362859522919814,0.8784585919193312,-0.7195877220172328,-0.7048092663769197,-0.20347406047260455
VitB9,0.33226987852459156,-0.23867236956392476,-0.08307722810295626,-0.2679088725809737,0.568905834463118,0.25067359211217155,-0.39871762590983145,-0.3135592017030159,0.30108458436026025,-0.2015380321925839,-0.20751433915982237,-0.3969581307590987,0.9999905034816607,-0.3333333333333332,-0.20861338058030274,-0.3333333333333333,,-0.3333333333333327,,,0.107864842380637,0.999999911475615,0.9999999999761426,0.9999999987784289,0.9999999949154069,0.3333333333333334,1.0,-0.0841045639429635,-0.39571720547566275,-0.4014630466479209,0.13174756613743702,-0.8680951734570095,-0.9010372684237019,-0.8970193074977212,-0.9015667763642534,-0.19726545646963595,0.5518587422406648,0.1942520961750533,0.9908985592379708,-0.30139860898041015,0.06757373783994707,-0.38445039306709156,-0.5677060078038896,-0.31136808677508093
Hardness_g,-0.7411738822473131,0.7578453428274081,-0.36479949779409804,-0.012533036877792416,-0.8470626494609105,-0.8044617554623865,0.4270922654418868,-0.8692460045015702,-0.9207482252014847,-0.17917922252630544,0.18320802375208062,-0.6573010589250669,-0.08076691872946985,0.7499128389454703,0.16883431210478067,0.18778778682211117,,0.7499128389454709,,,0.1593532187244766,-0.084498024589786,-0.08409810460164518,-0.08405834304183533,-0.0840102647155554,0.853596061824618,-0.0841045639429635,1.0,0.945226195111766,0.9463844487477833,-0.7915179023413398,0.4102807523760636,0.43806147463462086,0.5072488296219827,0.48048120659027826,0.4342425443426188,0.7845463707552526,0.8997888452827948,0.3932811767249904,-0.24254767369616878,0.9857052051438124,-0.78740583791589,-0.6754423521750385,-0.3977702223063129
Firmness_g,-0.739602413412148,0.7240252284355403,-0.23797013524980362,0.14739029179040627,-0.9730514638507523,-0.8618541916277862,0.5824919383906392,-0.7219016363879659,-0.9659294947541442,-0.027053943849546895,0.3080234438752592,-0.4312930881169954,-0.39286189998582605,0.7487963810169921,0.29533683047454484,0.34963184546153225,,0.7487963810169924,,,0.1868750798145318,-0.3960896563193089,-0.3957110905799099,-0.39567344898042767,-0.3956279332747915,0.7027110210028618,-0.39571720547566275,0.945226195111766,1.0,0.9967152751689017,-0.8153576148485744,0.6810326702158616,0.7073657298194772,0.7582040041016186,0.7398209436449114,0.39392162076685727,0.5443370606238219,0.7383988482312833,-0.10082196021634889,-0.19669083219870034,0.8780827858577286,-0.5687395375569174,-0.4098605962968696,-0.20122859914023353
Strength_g,-0.7916540683890525,0.776699065844128,-0.31245157135632967,0.07106776871881183,-0.9621659792735647,-0.818157780244375,0.5181373932771224,-0.6959438524924123,-0.9424673609881677,-0.10360047235683476,0.23139472342433587,-0.47812201796725057,-0.3983799322951661,0.7999829756581837,0.21853027190696903,0.2765440535828878,,0.799982975658184,,,0.10716624157612141,-0.40182401300981346,-0.401457120277811,-0.40142063917095333,-0.40137652667374096,0.6750639825931506,-0.4014630466479209,0.9463844487477833,0.9967152751689017,1.0,-0.7675206289024685,0.6568940645485181,0.6936662703319104,0.7566166724941239,0.7332130085203487,0.46698693371126526,0.5422293897253115,0.7655588286598416,-0.10538768355455197,-0.121182924714266,0.8844080631934932,-0.6009500966826261,-0.4385038537601518,-0.2684239275926764
